日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=6.7285,=0.7460,=7.4176,=5.6057,=4.6084
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=6.7398,=0.7479,=7.4176,=5.6040,=4.6084
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=6.7949,=0.7541,=7.4176,=5.6029,=4.6084
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=6.7917,=0.7532,=7.4176,=5.6019,=4.6084
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=6.8669,=0.7629,=7.4788,=5.5975,=4.6074
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=6.7981,=0.7549,=7.4788,=5.5931,=4.6074
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=6.8871,=0.7647,=7.4788,=5.5931,=4.6074
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=6.5301,=0.7214,=7.4788,=5.5931,=4.6074
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=6.7315,=0.7502,=7.4788,=5.5910,=4.6074
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=6.7807,=0.7528,=7.5113,=5.5889,=4.6050
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=6.6538,=0.7392,=7.5113,=5.5883,=4.6050
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=6.6213,=0.7305,=7.5113,=5.5878,=4.6050
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=6.7998,=0.7559,=7.5113,=5.5867,=4.6050
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=6.6939,=0.7457,=7.5113,=5.5857,=4.6050
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=6.3868,=0.7029,=7.5166,=5.5847,=4.6035
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=6.2159,=0.6807,=7.5166,=5.5837,=4.6035
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=6.2229,=0.6811,=7.5166,=5.5786,=4.6035
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=6.4364,=0.7101,=7.5166,=5.5735,=4.6035
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=6.2643,=0.6878,=7.5166,=5.5729,=4.6035
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=6.3942,=0.7047,=7.5258,=5.5722,=4.6023
2026-05-08,=1640.4600,=1691.0500,=5769449484746.6602,=4776757438293,=2734229573699.7852,=6.3463,=0.6988,=7.5258,=5.5720,=4.6023
2026-05-07,=1678.8900,=1730.4800,=5923482866287.1992,=4899256462636,=2802258061235.7598,=6.2920,=0.6921,=7.5258,=5.5719,=4.6023
2026-05-06,=1656.9500,=1707.8600,=5852482521752.1406,=4841534482925,=2766102110343.8608,=6.2142,=0.6833,=7.5258,=5.5706,=4.6023
2026-04-30,=1571.0700,=1619.3400,=5558542259325.9902,=4550643368921,=2616232529267.8789,=6.0836,=0.6602,=7.5258,=5.5694,=4.6023
2026-04-29,=1493.5000,=1539.4000,=5282973057187.9990,=4313292904532,=2474250187888.0693,=5.8347,=0.5798,=7.5339,=5.5687,=4.6007
2026-04-28,=1488.6600,=1534.4000,=5270235865935.9883,=4302220169730,=2463455183758.5098,=6.0386,=0.6483,=7.5339,=5.5680,=4.6007
