date,year,month,volatility_20d
2023-06-02,2023,6,13.678298319346569
2023-06-05,2023,6,12.803571638611231
2023-06-06,2023,6,12.869932288193349
2023-06-07,2023,6,12.7335844486626
2023-06-08,2023,6,13.303764707973578
2023-06-09,2023,6,12.823073778097136
2023-06-12,2023,6,11.165373293103306
2023-06-13,2023,6,11.604270289093185
2023-06-14,2023,6,11.424159425642154
2023-06-15,2023,6,13.039064330288856
2023-06-16,2023,6,13.446479207806158
2023-06-19,2023,6,13.61888654086112
2023-06-20,2023,6,12.567019422781014
2023-06-21,2023,6,12.624972599805009
2023-06-26,2023,6,13.27456587251841
2023-06-27,2023,6,13.485261160554687
2023-06-28,2023,6,13.394359059278546
2023-06-29,2023,6,13.520402752118832
2023-06-30,2023,6,13.15418530977199
2023-07-03,2023,7,13.673582437389465
2023-07-04,2023,7,12.873606382706216
2023-07-05,2023,7,13.023676962950864
2023-07-06,2023,7,12.789227843539674
2023-07-07,2023,7,12.776277491451784
2023-07-10,2023,7,12.532383574744015
2023-07-11,2023,7,12.65467458430548
2023-07-12,2023,7,12.817101916953582
2023-07-13,2023,7,13.772121760839063
2023-07-14,2023,7,13.778256832943216
2023-07-17,2023,7,12.7175099942479
2023-07-18,2023,7,12.206394427680005
2023-07-19,2023,7,11.939469405531216
2023-07-20,2023,7,12.172224658319417
2023-07-21,2023,7,11.114400379023328
2023-07-24,2023,7,10.422747184469197
2023-07-25,2023,7,14.415885375047024
2023-07-26,2023,7,14.475629962620149
2023-07-27,2023,7,14.334462091854263
2023-07-28,2023,7,16.397643484134143
2023-07-31,2023,7,16.049445622645454
2023-08-01,2023,8,16.21067289436202
2023-08-02,2023,8,16.229795871060333
2023-08-03,2023,8,16.069479065493717
2023-08-04,2023,8,15.96817833069423
2023-08-07,2023,8,16.382524703860422
2023-08-08,2023,8,16.428251109431358
2023-08-09,2023,8,16.304985760587325
2023-08-10,2023,8,15.40971213870106
2023-08-11,2023,8,17.728196382928925
2023-08-14,2023,8,17.715121246844475
2023-08-15,2023,8,17.710036075354875
2023-08-16,2023,8,17.921492908334717
2023-08-17,2023,8,17.774880128185718
2023-08-18,2023,8,18.367242257100912
2023-08-21,2023,8,18.905152372479268
2023-08-22,2023,8,15.57306662886412
2023-08-23,2023,8,16.18016779411361
2023-08-24,2023,8,16.46928283523732
2023-08-25,2023,8,13.191017290364616
2023-08-28,2023,8,14.38265374623019
2023-08-29,2023,8,14.704937122381963
2023-08-30,2023,8,14.624165895508998
2023-08-31,2023,8,14.039122666379752
2023-09-01,2023,9,14.105793566707886
2023-09-04,2023,9,15.333831920735935
2023-09-05,2023,9,15.429304808226323
2023-09-06,2023,9,15.431099753008809
2023-09-07,2023,9,15.92215433724548
2023-09-08,2023,9,13.963888113524384
2023-09-11,2023,9,14.188740424189866
2023-09-12,2023,9,14.188964516980814
2023-09-13,2023,9,14.125029462667044
2023-09-14,2023,9,14.031319829427682
2023-09-15,2023,9,13.41710108012664
2023-09-18,2023,9,12.61657156764068
2023-09-19,2023,9,12.419629616986668
2023-09-20,2023,9,11.403010402745954
2023-09-21,2023,9,11.640245880985804
2023-09-22,2023,9,13.739474154139357
2023-09-25,2023,9,13.02033996038698
2023-09-26,2023,9,12.907866870657331
2023-09-27,2023,9,12.976105833074635
2023-09-28,2023,9,12.934540921163537
2023-10-09,2023,10,12.680380860800966
2023-10-10,2023,10,11.238135222366756
2023-10-11,2023,10,11.227579283449792
2023-10-12,2023,10,11.964176040848876
2023-10-13,2023,10,11.462723172419013
2023-10-16,2023,10,11.94948037995866
2023-10-17,2023,10,11.630126103526324
2023-10-18,2023,10,11.810631272082048
2023-10-19,2023,10,13.52193679581478
2023-10-20,2023,10,13.52324561632757
2023-10-23,2023,10,13.78669118183897
2023-10-24,2023,10,13.67444527119847
2023-10-25,2023,10,14.031282965020983
2023-10-26,2023,10,14.20993510813936
2023-10-27,2023,10,15.28371959025619
2023-10-30,2023,10,13.247002731218496
2023-10-31,2023,10,13.106251433441331
