日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-05-08,=8110.0135,=8694.7868,=1123566064927.2000,=828295188691,=511920461701.5387,=92.0439,=0.1850,=124.0065,=101.5480,=92.7448
2020-05-07,=8071.5675,=8653.5687,=1115692894240,=822484425800,=509240158011.2431,=91.3989,=0.1628,=125.0851,=101.5968,=92.7448
2020-05-06,=8125.9625,=8710.6834,=1125531068445.1001,=830494354822,=512690986527.7600,=92.2048,=0.1813,=125.0851,=101.8050,=92.8679
2020-04-30,=7656.9389,=8207.9102,=1059695954618.1000,=784646889445,=482740924090.1299,=86.8115,=0.0529,=125.0851,=102.0133,=92.8835
2020-04-29,=7125.2155,=7637.9255,=984504672364.8000,=731613362876,=448917827410.0499,=96.2587,=0.3314,=125.0851,=102.0797,=93.1690
2020-04-28,=7203.0150,=7721.3233,=995912954391.1000,=744503408516,=440418805413.0900,=98.7718,=0.3810,=125.0851,=102.1462,=93.1690
2020-04-27,=6907.5708,=7404.6197,=954220631451.6000,=713764420190,=422214273140.2500,=95.8283,=0.3114,=125.2027,=102.1640,=92.8835
2020-04-24,=6968.5088,=7469.9426,=961847809470.9000,=721535518445,=425207129464.2801,=98.0599,=0.3614,=125.2027,=102.1817,=92.8835
2020-04-23,=7134.4377,=7647.8113,=983919992441.3000,=740362004696,=432085005320.2328,=101.4991,=0.4727,=125.2027,=102.2225,=92.8835
2020-04-22,=7286.8559,=7811.1971,=1002583826134.1000,=753488105610,=440955524982.2504,=103.4495,=0.5549,=125.2027,=102.2633,=92.8835
2020-04-21,=7237.0115,=7757.7660,=997134822536.9000,=748230226827,=427981549886.7197,=108.3975,=0.6380,=125.2027,=102.2225,=92.8835
2020-04-20,=7431.3808,=7966.1215,=1024837823260.5000,=768508661018,=439587437816.8640,=111.4091,=0.6605,=125.3317,=102.1817,=92.8679
2020-04-17,=7388.3126,=7919.9542,=1019429562601.1000,=765922239523,=437158131861.1650,=112.3368,=0.6646,=125.3317,=102.1640,=92.8679
