date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2021-06-09,13.92,1.68,20.91,2.15,,3.1051,4.078808045977011,0.7669204737732657,0.8790186125211505,0.3333333333333333,0.5245346869712352
2021-06-10,13.99,1.69,21.13,2.17,,3.1,4.047962830593281,0.7893401015228426,0.9056683587140439,0.35194585448392557,0.5541455160744501
2021-06-11,13.89,1.67,21.02,2.16,,3.1276,4.071824046076314,0.7576142131979695,0.8489847715736041,0.3413705583756345,0.5427241962774958
2021-06-15,14.23,1.73,18.87,1.96,,3.1176,3.909806886858749,0.8532148900169205,0.9488155668358714,0.15905245346869712,0.33671742808798644
2021-06-16,14.04,1.7,18.59,1.93,,3.1301,3.9924071225071223,0.8037225042301185,0.9251269035532995,0.1404399323181049,0.3096446700507614
2021-06-17,14.05,1.7,18.75,1.95,,3.1401,3.9773377224199282,0.8083756345177665,0.9247038917089678,0.15313028764805414,0.32783417935702197
2021-06-18,14.04,1.7,18.82,1.95,,3.1202,4.002307122507123,0.8024534686971235,0.9242808798646363,0.15905245346869712,0.32825719120135366
2021-06-21,14.01,1.69,18.98,1.97,,3.0953,4.0424587437544615,0.7927241962774958,0.9018612521150592,0.16751269035532995,0.3494077834179357
2021-06-22,14.1,1.7,19.1,1.98,,3.0877,4.004498581560284,0.8210659898477157,0.9238578680203046,0.17681895093062605,0.36082910321489003
2021-06-23,14.15,1.71,19.24,2.0,,3.0853,3.9818378091872795,0.8362944162436549,0.9357021996615905,0.18401015228426396,0.3769035532994924
2021-06-24,14.18,1.71,19.13,1.98,,3.0828,3.969386177715091,0.8447546531302876,0.9352791878172588,0.1793570219966159,0.36125211505922167
2021-06-25,14.39,1.74,19.32,2.0,,3.0827,3.8665703266157054,0.873942470389171,0.9513536379018612,0.19289340101522842,0.37817258883248733
2021-06-28,14.4,1.74,19.34,2.01,,3.0903,3.8541444444444446,0.8747884940778342,0.9509306260575296,0.19627749576988154,0.3883248730964467
2021-06-29,14.24,1.72,19.18,1.99,,3.0853,3.93717191011236,0.8527918781725888,0.9407783417935702,0.18104906937394247,0.37055837563451777
2021-06-30,14.32,1.73,19.31,2.01,,3.0778,3.905440223463687,0.8629441624365483,0.9467005076142132,0.1916243654822335,0.3895939086294416
2021-07-01,14.33,1.74,19.08,1.98,,3.0878,3.890567062107467,0.8646362098138748,0.950507614213198,0.17428087986463622,0.3616751269035533
2021-07-02,13.98,1.69,18.91,1.97,,3.0803,4.0727758226037185,0.7749576988155669,0.8946700507614214,0.16455160744500846,0.34983079526226735
2021-07-05,14.01,1.7,19.05,1.99,,3.0754,4.062358743754461,0.7855329949238579,0.9175126903553299,0.17343485617597293,0.372673434856176
2021-07-06,14.0,1.7,19.02,1.98,,3.0854,4.057457142857142,0.7813028764805414,0.9170896785109983,0.17174280879864637,0.3629441624365482
2021-07-07,14.11,1.71,19.16,2.0,,3.0554,4.031772218284903,0.8176818950930627,0.9306260575296108,0.1844331641285956,0.38282571912013535
